model_name,datetime,epoch_count,optimizer,lr,gamma,step_size,loss_name,val_losses,val_accuracies,best_val_acc,best_val_loss,test_accuracy,dataset_config,extra_parameters,train_losses,train_accuracies
siamese_resnet18_linear,2023-05-16 21:04:15.317697,2,Adam,0.001,,,ContrastiveLoss,63.47208150227865;14.547251065572103,0.9791666666666666;0.9583333333333334,0.9791666666666666,14.547251065572103,,mot20_ext-v1a,threshold=0.25,,
siamese_resnet18_linear,2023-05-16 21:06:29.426601,2,Adam,0.001,,,ContrastiveLoss,10.053370475769043;8.094988663991293,0.9583333333333334;0.9791666666666666,0.9791666666666666,8.094988663991293,,mot20_ext-v1a,threshold=0.25,,
siamese_resnet18_linear,2023-05-16 21:06:46.626192,2,Adam,0.001,,,ContrastiveLoss,6.908087730407715;5.925547281901042,0.9583333333333334;1.0,1.0,5.925547281901042,,mot20_ext-v1a,threshold=0.25,,
basic_cnn,2023-05-16 21:12:15.115694,6,Adam,0.001,,,ContrastiveLoss,1.7107092142105103;1.6221161603927612;1.626214289665222;1.5854363918304444;1.7082665681838989;1.5940482139587402,0.8375;0.9;0.925;0.95;0.7875;0.925,0.95,1.5854363918304444,,mot20_ext-v1b,threshold=0.25,,
basic_cnn,2023-05-16 21:13:44.219291,6,Adam,0.01,0.1,2.0,ContrastiveLoss,1.6568951606750488;1.6641317844390868;1.5329742908477784;1.6782008171081544;1.5714478969573975;1.5828275680541992,0.85;0.85;0.9125;0.9125;0.95;0.9,0.95,1.5329742908477784,,mot20_ext-v1b,threshold=0.25,,
basic_cnn,2023-05-16 21:17:44.904547,6,Adam,0.01,0.1,2.0,ContrastiveLoss,1.5339941811561584;1.5315347909927368;1.5242720174789428;1.506788911819458;1.4839881324768067;1.4979773783683776,0.9025;0.92;0.89;0.92;0.9125;0.925,0.925,1.4839881324768067,,mot20_ext-v1c,threshold=0.25,,
basic_cnn,2023-05-16 21:27:46.559418,6,Adam,0.01,0.1,2.0,ContrastiveLoss,1.4901376700401305;1.534993691444397;1.4714239454269409;1.459164183139801;1.4430701518058777;1.4870353031158448,0.9075;0.915;0.91;0.9225;0.9075;0.91,0.9225,1.4430701518058775,,mot20_ext-v1c,threshold=0.25,,
basic_cnn,2023-05-17 15:03:13.436258,6,Adam,0.01,0.1,2.0,ContrastiveLoss m=1.5,0.9714098906517029;0.8796071553230286;0.8819021964073182;0.8731597971916198;0.8663542413711548;0.886832172870636,0.8275;0.9425;0.925;0.9175;0.9025;0.8925,0.9425,0.8663542413711548,,mot20_ext-v1c,threshold=0.25,,
basic_cnn,2023-05-17 15:06:01.520415,6,Adam,0.01,0.1,2.0,ContrastiveLoss m=1.25,0.6222390758991242;0.6281688070297241;0.6196237695217133;0.6004827499389649;0.6111338853836059;0.6175771129131317,0.8825;0.9075;0.89;0.9175;0.91;0.895,0.9175,0.6004827499389649,,mot20_ext-v1c,threshold=0.25,,
basic_cnn,2023-05-17 15:07:59.939462,6,Adam,0.01,0.1,2.0,ContrastiveLoss m=1.15,0.5868227648735046;0.5092317128181457;0.5138578748703003;0.5161948299407959;0.5068400061130524;0.5131387805938721,0.8225;0.9075;0.915;0.9175;0.9025;0.9025,0.9175,0.5068400061130524,,mot20_ext-v1c,threshold=0.25,,
